coach,should_go,shouldnt_go
Adam Gase,0.2475628902765388,0.9565452068757531
Andy Reid,0.2947272006209559,0.979492463331465
Anthony Lynn,0.2718792423146703,0.95525585537106394
Arthur Smith,0.35757575757575755,0.9625734961555857
Ben McAdoo,0.2667605633802817,0.9773727984344422
Bill Belichick,0.23810642051306738,0.9654311053532544
Bill Callahan,0.2,0.9818181818181818
Bill O'Brien,0.302376030954078,0.9591745121839268
Brandon Staley,0.411316029143898,0.9227941176470589
Brian Daboll,0.36065573770491804,0.9487179487179487
Brian Flores,0.30307896305487636,0.9427388329827354
Bruce Arians,0.25516950338030364,0.9585244043377898
Chip Kelly,0.2833333333333333,0.9871794871794872
Chuck Pagano,0.29800724637681164,0.9715226656334754
Dan Campbell,0.47342831298055177,0.8894179894179894
Dan Quinn,0.3255203088867438,0.9963768115942029
David Culley,0.2807017543859649,0.9540229885057471
Dennis Allen,0.18604651162790697,0.9746835443037974
Dirk Koetter,0.21250421300977418,0.9890710382513661
Doug Marrone,0.31697330741556334,0.9671591349752451
Doug Pederson,0.422397605164305,0.9272604493905111
Frank Reich,0.37523076923076926,0.9614780415090013
Freddie Kitchens,0.4222222222222222,0.9733333333333334
Gary Kubiak,0.16981132075471697,0.9493670886075949
Gus Bradley,0.29411764705882354,0.9710144927536232
Hue Jackson,0.3210694534223946,0.9576985662092045
Jack Del Rio,0.29094827586206895,0.9291547958214625
Jason Garrett,0.28116658516209225,0.9735743813556881
Jay Gruden,0.25459108679608927,0.9568227794954006
Jeff Fisher,0.25862068965517243,0.9555555555555556
Jeff Saturday,0.4827586206896552,0.9473684210526315
Jim Caldwell,0.19172113289760348,1
Joe Judge,0.37618371212121215,0.9778509768287142
John Fox,0.2553579571363429,0.9781029929577465
John Harbaugh,0.3704830778771542,0.9705542323030008
Jon Gruden,0.3323433496389471,0.9785714285714285
Josh McDaniels,0.3333333333333333,0.9454545454545454
Kevin O'Connell,0.31343283582089554,0.96875
Kevin Stefanski,0.53685617951401,0.9540840840840841
Kliff Kingsbury,0.4752888448523617,0.9540735201336467
Kyle Shanahan,0.26879533379128656,0.9752712140534953
Lovie Smith,0.3728813559322034,0.9642857142857143
Marvin Lewis,0.25063688257772326,0.982428761343275
Matt Eberflus,0.38461538461538464,0.9444444444444444
Matt LaFleur,0.4240509693558474,0.9315469681347789
Matt Nagy,0.3642543859649123,0.9458017840972583
Matt Patricia,0.2786418493965664,0.9746464646464646
Matt Rhule,0.4485753052917232,0.9532115171650055
Mike McCarthy,0.37570630668212923,0.9387749458609648
Mike McCoy,0.20930232558139536,0.9523809523809523
Mike McDaniel,0.37735849056603776,0.9230769230769231
Mike Mularkey,0.19981447124304266,0.9773565573770492
Mike Tomlin,0.2657686624017739,0.9687883226906279
Mike Vrabel,0.3024498762098504,0.9624326847466407
Mike Zimmer,0.32146337961555355,0.9667499253587186
Nathaniel Hackett,0.33962264150943394,0.9764705882352941
Nick Sirianni,0.4462973431317129,0.9232291666666667
Pat Shurmur,0.4314565483476132,0.9469521604938271
Pete Carroll,0.2526952005431202,0.9737442189287921
Raheem Morris,0.38235294117647056,0.9574468085106383
Rex Ryan,0.2682926829268293,0.9696969696969697
Rich Bisaccia,0.23255813953488372,0.9333333333333333
Robert Saleh,0.43103448275862066,0.9532967032967032
Romeo Crennel,0.2894736842105263,1
Ron Rivera,0.3536906165112513,0.9553036561895527
Sean McDermott,0.3266859224752564,0.9591674033422004
Sean McVay,0.2763512426325462,0.9624935755939744
Sean Payton,0.285466414104185,0.979480024410645
Steve Wilks,0.20961386918833727,0.9250181554103123
Todd Bowles,0.2600338319088319,0.9555468890810653
Urban Meyer,0.3508771929824561,0.9111111111111111
Vance Joseph,0.3159670164917541,0.9656026417171162
Vic Fangio,0.31675314193473997,0.9811117761057911
Zac Taylor,0.37340929577970305,0.9591685534174884
