coach,team,season,should_go,shouldnt_go,pct,epa,count,z_wins,z_should,z_shouldnt,z_epa,above_mean_wins,above_mean_should,above_mean_shouldnt,above_mean_epa
Jay Gruden,WAS,2018,0.3333333333333333,1,0.4375,0.14621755804312317,13,-0.32804276504765967,-0.30838171623413885,0.49297150027201964,0.9907671732959048,0,0,1,1
Jeff Fisher,LA,2016,0.14285714285714285,0.875,0.25,0.11082321436546592,23,-1.3077910758168976,-1.1614204730240607,-1.2857182972620889,0.7873240667830458,0,0,0,1
Jeff Saturday,IND,2022,0.5,1,0.125,0.030899699755368756,9,-1.960956616329723,0.43802719595704304,0.49297150027201964,0.3279317908932651,0,1,1,1
Jim Caldwell,DET,2016,0.1111111111111111,1,0.5625,0.14663196709950077,21,0.32512277546516566,-1.3035935991557144,0.49297150027201964,0.9931491546250216,1,0,1,1
Jim Caldwell,DET,2017,0.375,1,0.5625,-0.2725780690094416,18,0.32512277546516566,-0.12177948818634331,0.49297150027201964,-1.416427720258735,1,0,1,0
Joe Judge,NYG,2020,0.1875,1,0.375,0.20149146163233492,26,-0.6546255353040723,-0.9614895144014228,0.49297150027201964,1.3084759789088194,0,0,1,1
Joe Judge,NYG,2021,0.14285714285714285,1,0.23529411764705882,-0.060330663725774114,16,-1.3846340805831123,-1.1614204730240607,0.49297150027201964,-0.19645110836126026,0,0,1,0
John Fox,CHI,2016,0.5,1,0.1875,-0.3473356040687186,13,-1.6343738460733104,0.43802719595704304,0.49297150027201964,-1.846126468347231,0,1,1,0
John Fox,CHI,2017,0.3333333333333333,1,0.3125,-0.1114970124936977,13,-0.981208305560485,-0.30838171623413885,0.49297150027201964,-0.4905501044344025,0,0,1,0
John Harbaugh,BAL,2016,0.4,1,0.5,0.15116388244437784,25,-0.00145999479124701,-0.009818151357665937,0.49297150027201964,1.0191981455206232,0,0,1,1
John Harbaugh,BAL,2017,0.5,1,0.5625,0.22606090515770266,13,0.32512277546516566,0.43802719595704304,0.49297150027201964,1.449698654532223,1,1,1,1
John Harbaugh,BAL,2018,0.6666666666666666,1,0.625,0.15411333416167883,20,0.6517055457215783,1.1844361081482246,0.49297150027201964,1.0361512955872587,1,1,1,1
John Harbaugh,BAL,2019,0.75,1,0.875,0.2444382899720456,12,1.958036626747229,1.5576405642438156,0.49297150027201964,1.5553300031528297,1,1,1,1
John Harbaugh,BAL,2020,0.6666666666666666,0.8333333333333334,0.6875,0.12294966159515165,9,0.9782883159779909,1.1844361081482246,-1.8786148964401246,0.8570256585921586,1,1,0,1
John Harbaugh,BAL,2021,0.5,1,0.47058823529411764,0.20351917061758384,17,-0.15514600432367653,0.43802719595704304,0.49297150027201964,1.320131045006951,0,1,1,1
John Harbaugh,BAL,2022,0.6666666666666666,1,0.5882352941176471,-0.008600861289252627,19,0.45959803380604153,1.1844361081482246,0.49297150027201964,0.1008865623927742,1,1,1,1
Jon Gruden,LV,2018,0.375,1,0.25,-0.28500801688371397,15,-1.3077910758168976,-0.12177948818634331,0.49297150027201964,-1.4878738030669094,0,0,1,0
Jon Gruden,LV,2019,0.4444444444444444,1,0.4375,-0.25614211541578125,17,-0.32804276504765967,0.189224225226649,0.49297150027201964,-1.3219555218744996,0,1,1,0
Jon Gruden,LV,2020,0.6,1,0.5,0.15385222618349942,18,-0.00145999479124701,0.885872543271752,0.49297150027201964,1.0346504733457196,0,1,1,1
Josh McDaniels,LV,2022,0.4375,1,0.35294117647058826,0.19323934704235488,30,-0.7698900424533943,0.15812385388534986,0.49297150027201964,1.2610436591354939,0,1,1,1
Kevin O'Connell,MIN,2022,0.5,0.9090909090909091,0.7647058823529411,-0.09819262083453348,25,1.381714091000618,0.43802719595704304,-0.800621079752787,-0.41407780722063214,1,1,0,0
Kevin Stefanski,CLE,2020,0.4,1,0.6875,-0.27513712228696713,10,0.9782883159779909,-0.009818151357665937,0.49297150027201964,-1.4311368995912608,1,0,1,0
Kevin Stefanski,CLE,2021,0.42857142857142855,0.9375,0.47058823529411764,-0.18463139913462248,23,-0.15514600432367653,0.11813766216082217,-0.3963733984950346,-0.9109191596327467,0,1,0,0
Kevin Stefanski,CLE,2022,0.6,1,0.4117647058823529,0.024534899631187886,14,-0.46251802338853554,0.885872543271752,0.49297150027201964,0.29134756372438614,0,1,1,1
Kliff Kingsbury,ARI,2019,0.25,0.8888888888888888,0.34375,-0.07268007116312769,13,-0.8179169204322786,-0.6815861723297296,-1.0880860975360775,-0.2674342528865301,0,0,0,0
Kliff Kingsbury,ARI,2020,0.5833333333333334,0.8,0.5,0.2590312462613574,17,-0.00145999479124701,0.811231652052634,-2.3529321757825534,1.6392088394929432,0,1,0,1
Kliff Kingsbury,ARI,2021,1,1,0.6470588235294118,-0.04187026590339366,13,0.7669700528709006,2.677253932530588,0.49297150027201964,-0.09034260936911614,1,1,1,0
Kliff Kingsbury,ARI,2022,0.8571428571428571,1,0.23529411764705882,-0.24141734919872115,17,-1.3846340805831123,2.0374748649381464,0.49297150027201964,-1.2373190554052733,0,1,1,0
Kyle Shanahan,SF,2017,0.2857142857142857,0.9090909090909091,0.375,0.12500471998072915,18,-0.6546255353040723,-0.5216414054316193,-0.800621079752787,0.8688379262763622,0,0,0,1
Kyle Shanahan,SF,2018,0.3333333333333333,1,0.25,0.045782252065671526,18,-1.3077910758168976,-0.30838171623413885,0.49297150027201964,0.41347519586278275,0,0,1,1
Kyle Shanahan,SF,2019,0.5,1,0.8125,0.048139319105392125,19,1.6314538564908163,0.43802719595704304,0.49297150027201964,0.4270233787359272,1,1,1,1
Kyle Shanahan,SF,2020,0.3333333333333333,1,0.375,-0.08976098743436668,12,-0.6546255353040723,-0.30838171623413885,0.49297150027201964,-0.36561363148878107,0,0,1,0
Kyle Shanahan,SF,2021,0.3333333333333333,1,0.5882352941176471,0.02645280773974155,15,0.45959803380604153,-0.30838171623413885,0.49297150027201964,0.30237150549214,1,0,1,1
Kyle Shanahan,SF,2022,0.16666666666666666,1,0.7647058823529411,-0.17558984196044927,11,1.381714091000618,-1.0547906284253206,0.49297150027201964,-0.858949203755628,1,0,1,0
Lovie Smith,HOU,2022,0.3,0.875,0.20588235294117646,0.0878858144585257,18,-1.5383200901155418,-0.45766349867237516,-1.2857182972620889,0.6554822127598734,0,0,0,1
Marvin Lewis,CIN,2016,0.25,1,0.40625,-0.11704322411930888,18,-0.491334150175866,-0.6815861723297296,0.49297150027201964,-0.5224291677324271,0,0,1,0
Marvin Lewis,CIN,2017,0.3333333333333333,1,0.4375,-0.12830252100255965,20,-0.32804276504765967,-0.30838171623413885,0.49297150027201964,-0.5871464670822961,0,0,1,0
Marvin Lewis,CIN,2018,0.5,1,0.375,-0.04483922354412298,14,-0.6546255353040723,0.43802719595704304,0.49297150027201964,-0.10740787751014813,0,1,1,0
Matt Eberflus,CHI,2022,0.42857142857142855,0.875,0.17647058823529413,-0.2022744407559062,15,-1.692006099647971,0.11813766216082217,-1.2857182972620889,-1.012329577875236,0,1,0,0
Matt LaFleur,GB,2019,0.6666666666666666,1,0.8125,0.02924456796533719,15,1.6314538564908163,1.1844361081482246,0.49297150027201964,0.3184182608185495,1,1,1,1
Matt LaFleur,GB,2020,0.5,1,0.8125,-0.019722273852348128,10,1.6314538564908163,0.43802719595704304,0.49297150027201964,0.03696180816500925,1,1,1,1
Matt LaFleur,GB,2021,0.5,1,0.7647058823529411,-0.01170747031344927,13,1.381714091000618,0.43802719595704304,0.49297150027201964,0.0830300880261536,1,1,1,1
Matt LaFleur,GB,2022,0.5,1,0.47058823529411764,-0.3509459577412582,19,-0.15514600432367653,0.43802719595704304,0.49297150027201964,-1.8668784159872494,0,1,1,0
Matt Nagy,CHI,2018,0.5,1,0.75,-0.2298433333214223,16,1.3048710862344035,0.43802719595704304,0.49297150027201964,-1.1707927831186309,1,1,1,0
Matt Nagy,CHI,2019,0.3333333333333333,1,0.5,-0.2615492791357895,17,-0.00145999479124701,-0.30838171623413885,0.49297150027201964,-1.3530353518789904,0,0,1,0
Matt Nagy,CHI,2020,0.5454545454545454,0.875,0.5,0.019150684408500627,19,-0.00145999479124701,0.6415932629182742,-1.2857182972620889,0.2603996393607319,0,1,0,1
Matt Nagy,CHI,2021,0.875,0.8571428571428571,0.35294117647058826,-0.27537797003812114,15,-0.7698900424533943,2.117447248387202,-1.5398168397669623,-1.4325212680976427,0,1,0,0
Matt Patricia,DET,2018,0,1,0.375,-0.03683087350934658,12,-0.6546255353040723,-1.8011995406165022,0.49297150027201964,-0.06137669173778031,0,0,1,0
Matt Patricia,DET,2019,0.3333333333333333,1,0.21875,0.0015596396853300191,26,-1.4710824609451039,-0.30838171623413885,0.49297150027201964,0.15928809402792288,0,0,1,1
Matt Patricia,DET,2020,0,1,0.36363636363636365,-0.148936671867187,7,-0.7140042208052382,-1.8011995406165022,0.49297150027201964,-0.7057494786365038,0,0,1,0
Matt Rhule,CAR,2020,0.375,1,0.3125,0.1695258984221451,15,-0.981208305560485,-0.12177948818634331,0.49297150027201964,1.1247411556235014,0,0,1,1
Matt Rhule,CAR,2021,0.6,1,0.29411764705882354,-0.2680036929137533,12,-1.0772620615182533,0.885872543271752,0.49297150027201964,-1.3901346692633456,0,1,1,0
Mike McCarthy,DAL,2020,0.7272727272727273,0.8888888888888888,0.375,0.007116836743184753,20,-0.6546255353040723,1.4558575307632,-1.0880860975360775,0.19123030047905604,0,1,0,1
Mike McCarthy,DAL,2021,0.42857142857142855,1,0.7058823529411765,0.06620785309065624,14,1.0743420719357597,0.11813766216082217,0.49297150027201964,0.5308794840383044,1,1,1,1
Mike McCarthy,DAL,2022,0.1111111111111111,1,0.7058823529411765,0.19598491259285386,19,1.0743420719357597,-1.3035935991557144,0.49297150027201964,1.2768248921430942,1,0,1,1
Mike McCarthy,GB,2016,0,1,0.625,-0.05698139085569266,8,0.6517055457215783,-1.8011995406165022,0.49297150027201964,-0.1771998267594845,1,0,1,0
Mike McCarthy,GB,2017,0,0.8333333333333334,0.4375,-0.07907167292216316,14,-0.32804276504765967,-1.8011995406165022,-1.8786148964401246,-0.3041725331409557,0,0,0,0
Mike McCarthy,GB,2018,0.5,1,0.375,-0.18728038051628762,12,-0.6546255353040723,0.43802719595704304,0.49297150027201964,-0.926145236609585,0,1,1,0
Mike McCoy,LAC,2016,0.5454545454545454,0.875,0.3125,-0.07876928165513093,19,-0.981208305560485,0.6415932629182742,-1.2857182972620889,-0.30243441873183813,0,1,0,0
Mike McDaniel,MIA,2022,0.3076923076923077,1,0.5294117647058824,0.031523681526302916,20,0.1522260147411825,-0.42321385657124355,0.49297150027201964,0.3315183749825859,1,0,1,1
Mike Mularkey,TEN,2016,0.5,0.9,0.5625,-0.016256892147721705,18,0.32512277546516566,0.43802719595704304,-0.9299803377552669,0.05688047160068877,1,1,0,1
Mike Mularkey,TEN,2017,0.3333333333333333,1,0.5625,0.1599256825915284,24,0.32512277546516566,-0.30838171623413885,0.49297150027201964,1.069560086310229,1,0,1,1
