"","qtr","time","ydstogo","yardline_100","posteam_score","defteam_score","go_boost","wp","wp_fail","wp_succeed","wp_change","fg_make_prob","miss_fg_wp","make_fg_wp","punt_wp","score_diff","go"
"1",4,"01:12",1,37,20,19,13.0502710808528,0.825272500514984,0.654310702341088,0.999516138976314,0.345205436635226,0.628402147194259,0.631687998771667,0.848200425505638,0.744247235810248,1,0
"2",4,"01:59",10,75,27,20,-6.65062668968639,0.952331483364105,0.69494920883987,0.980668770677059,0.285719561837189,0,0.669169843196869,0.967610340565443,0.837540420572882,7,0
"3",4,"01:40",9,42,27,23,1.07834815952067,0.923098206520081,0.767462517900021,0.99954262135716,0.232080103457139,0.357168623978301,0.747912764549255,0.926222570240498,0.830034398722798,4,0
"4",4,"02:00",5,42,9,3,0.519455726072626,0.950610041618347,0.730059933871608,0.979884188968084,0.249824255096475,0.357168623978301,0.70233166217804,0.948498547077179,0.82487669217695,6,0
"5",4,"01:27",10,51,30,27,-3.75735356679324,0.926497757434845,0.729888621754364,0.999665840905334,0.269777219150971,0,0.66456001996994,0.902476288378239,0.847476410356027,3,0
"6",4,"00:38",15,56,30,27,-8.34300635228576,0.932950556278229,0.791219665425996,0.999930887430757,0.208711222004761,0,0.674788117408752,0.956060752272606,0.909106537644358,3,0
"7",4,"01:14",12,57,17,13,-8.3040218244857,0.926818668842316,0.627261754290375,0.999855099034485,0.37259334474411,0,0.564401805400848,0.919007621705532,0.783601490106074,4,0
"8",4,"02:00",21,90,23,16,-8.71441550851526,0.92165857553482,0.771819301408622,1,0.228180698591378,0,0.736656934022903,0.985380572266877,0.876319984675239,7,0
"9",4,"02:00",16,18,22,20,-4.15289937899049,0.909895718097687,0.730683953873777,0.976890243273668,0.246206289399891,0.90404266883918,0.693570107221603,0.825127243995667,NA,2,0
"10",4,"02:00",21,23,22,20,-6.9602479995724,0.901296496391296,0.715365264611718,0.980163761414306,0.264798496802588,0.839975583098696,0.673862546682358,0.825127243995667,NA,2,0
"11",4,"02:06",1,74,27,21,2.26865880909578,0.926847219467163,0.780709119324637,0.985625197380847,0.204916078056211,0,0.759643584489822,0.979728005826473,0.896946635737745,6,0
"12",4,"01:15",3,31,10,7,2.67653089724738,0.934114813804626,0.738043803450163,0.999497091113707,0.261453287663544,0.684336829046842,0.716583281755447,0.866466015577316,0.846111102640329,3,0
"13",4,"01:15",8,36,10,7,-1.11472587636184,0.940802812576294,0.724770687339134,0.999572120766933,0.274801433427799,0.56574063997748,0.693420112133026,0.866466015577316,0.834264208543094,3,0
